,Year,Platform,Genre,Total_games,North_america_sales(millions),Europe_sales(millions),Japan_sales(millions),Rest_of_world_sales(millions),Worldwide_sales(millions)
40,1993,SNES,Platform,7,7.59,2.59,4.11,0.57,14.85
41,1994,3DO,Puzzle,1,0.0,0.0,0.02,0.0,0.02
42,1994,GB,Platform,3,6.03,2.36,3.19,0.6,12.17
43,1994,GEN,Platform,4,3.23,1.27,0.3,0.24,5.03
44,1994,NES,Role-Playing,1,0.0,0.0,0.11,0.0,0.11
45,1994,NG,Fighting,4,0.0,0.0,0.8,0.0,0.8
46,1994,PC,Shooter,2,3.14,2.17,0.0,0.25,5.56
47,1994,PS,Shooter,4,0.57,0.4,0.52,0.1,1.59
48,1994,SAT,Fighting,5,0.17,0.12,1.1,0.02,1.4
49,1994,SCD,Strategy,1,0.0,0.0,0.14,0.0,0.14
50,1994,SNES,Platform,3,5.62,2.1,3.44,0.29,11.45
51,1995,3DO,Adventure,1,0.0,0.0,0.06,0.0,0.06
52,1995,GB,Platform,1,0.69,0.14,1.48,0.05,2.36
53,1995,NG,Fighting,3,0.0,0.0,0.31,0.0,0.31
54,1995,PC,Strategy,1,1.7,2.27,0.0,0.23,4.21
55,1995,PS,Fighting,12,1.79,1.86,2.36,0.43,6.45
56,1995,SAT,Fighting,11,0.34,0.26,3.77,0.03,4.4
57,1995,SNES,Platform,7,3.81,1.37,4.65,0.21,10.05
58,1995,TG16,Adventure,1,0.0,0.0,0.14,0.0,0.14
59,1996,GB,Role-Playing,2,11.27,8.89,10.49,1.0,31.64
60,1996,N64,Racing,3,9.22,2.56,2.57,0.2,14.55
61,1996,NG,Fighting,2,0.0,0.0,0.1,0.0,0.1
62,1996,PC,Simulation,1,3.22,1.69,0.0,0.2,5.12
63,1996,PCFX,Role-Playing,1,0.0,0.0,0.03,0.0,0.03
64,1996,PS,Action,17,7.48,5.26,2.5,1.42,16.64
65,1996,SAT,Adventure,8,0.0,0.0,2.02,0.0,2.02
66,1996,SNES,Role-Playing,10,0.66,0.0,4.72,0.03,5.41
67,1997,GB,Misc,2,1.39,0.55,0.21,0.07,2.22
68,1997,N64,Shooter,5,9.31,2.75,0.82,0.21,13.08
69,1997,PC,Shooter,1,4.03,0.0,0.09,0.0,4.12
70,1997,PS,Racing,27,10.54,9.17,3.2,1.35,24.24
71,1997,SAT,Role-Playing,7,0.0,0.0,1.86,0.0,1.86
72,1997,SNES,Platform,1,0.0,0.0,0.36,0.0,0.36
73,1998,DC,Platform,1,1.26,0.61,0.46,0.08,2.42
74,1998,GB,Role-Playing,2,5.89,5.04,5.46,0.6,16.99
75,1998,N64,Sports,24,8.35,2.25,0.63,0.19,11.41
76,1998,PC,Strategy,5,2.04,0.15,0.0,0.02,2.21
77,1998,PS,Sports,40,16.35,7.96,3.73,1.59,29.68
78,1998,SAT,Adventure,9,0.0,0.0,1.38,0.0,1.38
79,1998,SNES,Platform,1,0.0,0.0,0.14,0.0,0.14
80,1999,DC,Sports,6,1.12,0.05,1.05,0.02,2.25
81,1999,GB,Role-Playing,3,9.0,6.18,8.51,0.71,24.41
82,1999,N64,Fighting,7,6.25,1.47,1.99,0.1,9.79
83,1999,PC,Misc,1,1.94,0.0,0.0,0.0,1.94
84,1999,PS,Racing,27,15.2,9.41,2.58,1.5,28.73
85,1999,SAT,Sports,1,0.0,0.0,0.09,0.0,0.09
86,1999,SNES,Strategy,1,0.0,0.0,0.26,0.0,0.26
87,1999,WS,Role-Playing,2,0.0,0.0,0.46,0.0,0.46
88,2000,DC,Racing,2,1.1,0.51,0.25,0.08,1.94
89,2000,GB,Role-Playing,5,2.55,1.56,4.68,1.0,9.79
90,2000,GBA,Sports,1,0.05,0.02,0.0,0.0,0.06
91,2000,N64,Action,10,6.4,2.2,0.96,0.17,9.74
92,2000,PC,Misc,1,1.67,1.18,0.0,0.13,2.99
93,2000,PS,Sports,38,11.8,5.83,1.31,1.13,20.03
94,2000,PS2,Sports,22,3.85,2.16,2.61,0.89,9.5
95,2000,WS,Role-Playing,1,0.0,0.0,0.51,0.0,0.51
96,2000,XB,Sports,1,0.74,0.21,0.0,0.04,0.99
97,2001,DC,Adventure,2,0.0,0.0,0.48,0.0,0.48
98,2001,GB,Action,2,1.86,1.15,0.51,0.13,3.65
99,2001,GBA,Platform,20,12.18,5.53,2.67,0.8,21.16
100,2001,GC,Fighting,1,4.41,1.04,1.39,0.22,7.07
101,2001,N64,Sports,4,1.0,0.18,0.27,0.05,1.5
102,2001,PC,Simulation,4,3.04,0.88,0.0,0.11,4.04
103,2001,PS,Action,18,4.51,4.44,0.32,0.57,9.82
104,2001,PS2,Racing,35,19.31,13.08,2.37,3.77,38.55
105,2001,WS,Role-Playing,1,0.0,0.0,0.25,0.0,0.25
106,2001,XB,Shooter,4,6.53,1.65,0.08,0.15,8.4
107,2002,DC,Adventure,1,0.0,0.0,0.29,0.0,0.29
108,2002,GBA,Role-Playing,21,11.11,5.2,7.49,0.73,24.52
109,2002,GC,Action,16,6.53,2.41,1.74,0.31,11.03
110,2002,N64,Sports,1,0.06,0.02,0.0,0.0,0.08
111,2002,PC,Simulation,4,3.77,2.8,0.0,0.32,6.89
112,2002,PS,Action,5,0.91,1.2,0.35,0.16,2.62
113,2002,PS2,Action,34,22.4,16.73,2.09,5.45,46.66
114,2002,XB,Action,28,7.9,2.98,0.19,0.41,11.5
115,2003,GBA,Platform,32,10.61,4.54,1.72,0.51,17.38
116,2003,GC,Racing,24,8.15,2.98,1.45,0.33,12.9
117,2003,PC,Simulation,9,2.73,1.25,0.0,0.18,4.17
118,2003,PS,Misc,2,0.92,0.62,0.0,0.11,1.63
119,2003,PS2,Action,46,18.43,13.64,3.94,4.37,40.32
120,2003,XB,Sports,39,8.73,2.4,0.14,0.43,11.76
121,2004,DS,Platform,1,5.08,3.11,1.25,0.98,10.42
122,2004,GBA,Role-Playing,13,9.44,4.89,5.93,0.64,20.9
123,2004,GC,Action,17,4.09,1.06,0.07,0.15,5.38
124,2004,PC,Role-Playing,3,0.07,6.25,0.0,0.0,6.33
125,2004,PS2,Action,44,20.65,9.53,3.77,15.36,49.4
126,2004,PSP,Sports,1,0.5,0.5,0.63,0.33,1.96
127,2004,XB,Shooter,27,14.34,4.0,0.05,0.44,18.81
128,2005,DS,Simulation,10,13.56,14.7,8.63,3.74,40.65
129,2005,GBA,Misc,38,6.9,2.56,0.28,0.13,9.88
130,2005,GC,Action,22,4.9,1.42,0.38,0.17,6.96
131,2005,PC,Simulation,7,1.25,0.24,0.0,0.03,1.51
132,2005,PS2,Action,61,23.0,11.05,4.17,4.52,42.74
133,2005,PSP,Racing,13,6.24,2.46,0.05,1.64,10.4
134,2005,X360,Shooter,3,2.79,0.1,0.04,0.24,3.17
135,2005,XB,Shooter,37,9.58,3.64,0.0,0.51,13.7
136,2006,DS,Platform,16,16.01,9.45,8.96,3.34,37.79
137,2006,GBA,Role-Playing,7,0.2,0.08,1.01,0.04,1.31
138,2006,GC,Action,11,3.21,0.89,0.04,0.1,4.27
139,2006,PC,Simulation,12,0.52,0.82,0.0,0.17,1.52
140,2006,PS2,Sports,38,13.09,6.3,3.4,3.89,26.68
141,2006,PS3,Racing,5,2.4,3.42,0.29,1.16,7.3
142,2006,PSP,Action,26,4.63,3.39,0.71,2.05,10.78
143,2006,Wii,Sports,4,42.6,29.03,3.84,8.55,84.03
144,2006,X360,Shooter,16,10.27,3.69,0.31,1.45,15.69
145,2006,XB,Sports,20,2.9,0.91,0.0,0.13,3.99
146,2007,DC,Shooter,1,0.0,0.0,0.02,0.0,0.02
147,2007,DS,Misc,70,14.68,5.43,8.43,2.02,30.6
148,2007,GBA,Action,2,1.4,0.52,0.0,0.03,1.96
149,2007,GC,Action,2,0.14,0.04,0.0,0.0,0.18
150,2007,PC,Role-Playing,6,2.57,1.65,0.0,0.02,4.24
151,2007,PS2,Sports,32,7.92,1.75,2.01,6.77,18.46
152,2007,PS3,Action,21,7.69,5.68,1.22,2.54,17.12
153,2007,PSP,Action,28,3.82,3.13,0.52,2.07,9.55
154,2007,Wii,Sports,32,20.52,15.79,4.91,4.36,45.54
155,2007,X360,Shooter,20,21.71,8.72,0.42,3.32,34.17
156,2007,XB,Sports,2,0.28,0.08,0.0,0.01,0.37
157,2008,DC,Adventure,1,0.0,0.0,0.04,0.0,0.04
158,2008,DS,Misc,92,13.55,6.96,5.2,1.98,27.72
159,2008,PC,Role-Playing,10,0.35,1.74,0.0,1.36,3.46
160,2008,PS2,Sports,30,4.68,1.18,1.03,5.65,12.52
161,2008,PS3,Action,30,16.64,13.43,2.38,5.78,38.14
162,2008,PSP,Role-Playing,17,1.3,0.65,5.6,0.48,8.05
163,2008,Wii,Racing,23,19.24,14.66,3.85,3.8,41.56
164,2008,X360,Action,35,25.71,13.24,0.48,4.16,43.61
165,2008,XB,Sports,1,0.13,0.04,0.0,0.01,0.18
166,2009,DS,Action,63,16.5,8.15,5.68,2.5,32.82
167,2009,PC,Simulation,6,1.01,6.95,0.0,1.18,9.14
168,2009,PS2,Sports,18,2.63,1.21,0.59,2.93,7.39
169,2009,PS3,Action,43,21.03,13.47,3.46,6.22,44.18
170,2009,PSP,Action,34,3.35,2.47,1.33,1.48,8.55
171,2009,Wii,Sports,67,45.42,28.36,6.71,7.71,88.17
172,2009,X360,Shooter,28,21.67,8.93,0.37,3.25,34.23
173,2010,DS,Role-Playing,28,8.74,4.0,12.32,1.12,26.19
174,2010,PC,Strategy,16,3.71,3.47,0.0,1.09,8.32
175,2010,PS2,Sports,11,1.14,0.98,0.29,0.69,3.09
176,2010,PS3,Action,47,17.89,13.55,2.72,5.58,39.82
177,2010,PSP,Role-Playing,29,1.58,0.77,8.7,0.54,11.56
178,2010,Wii,Misc,65,25.26,14.21,3.0,3.76,46.2
179,2010,X360,Shooter,28,26.43,11.12,0.57,3.42,41.58
180,2011,3DS,Racing,9,5.86,4.43,2.81,1.04,14.12
181,2011,DS,Action,30,4.01,1.95,0.58,0.59,7.14
182,2011,PC,Role-Playing,13,3.88,3.86,0.0,1.28,9.03
183,2011,PS2,Sports,3,0.08,0.09,0.0,0.09,0.27
184,2011,PS3,Action,60,16.66,16.49,5.05,6.37,44.59
185,2011,PSP,Role-Playing,33,0.35,0.16,5.04,0.12,5.68
186,2011,PSV,Shooter,1,0.59,0.75,0.13,0.27,1.74
187,2011,Wii,Misc,50,13.93,6.94,1.8,2.23,24.93
188,2011,X360,Shooter,31,27.59,13.62,0.55,4.02,45.81
189,2012,3DS,Role-Playing,17,4.15,2.02,5.15,0.53,11.84
190,2012,DS,Role-Playing,2,3.49,1.92,3.51,0.47,9.38
191,2012,PC,Role-Playing,9,3.88,3.9,0.0,1.1,8.88
192,2012,PS3,Action,56,16.27,17.37,4.35,7.46,45.45
193,2012,PSP,Action,51,0.05,0.19,2.58,0.1,2.93
194,2012,PSV,Action,20,2.92,2.51,0.84,1.33,7.6
195,2012,Wii,Misc,9,5.53,3.84,1.05,0.88,11.29
196,2012,WiiU,Platform,2,2.32,1.33,1.27,0.31,5.22
197,2012,X360,Shooter,15,22.56,11.61,0.29,3.04,37.5
198,2013,3DS,Role-Playing,21,7.03,5.18,13.57,1.06,26.84
199,2013,DS,Platform,2,0.28,0.56,0.0,0.08,0.92
200,2013,PC,Shooter,11,1.36,2.29,0.0,0.51,4.17
201,2013,PS3,Action,37,18.47,21.72,4.95,9.34,54.44
202,2013,PS4,Shooter,3,4.01,4.29,0.29,1.04,9.64
203,2013,PSP,Role-Playing,7,0.0,0.0,1.03,0.0,1.03
204,2013,PSV,Role-Playing,19,1.35,0.69,2.15,0.53,4.76
205,2013,Wii,Misc,4,2.15,1.65,0.05,0.36,4.19
206,2013,WiiU,Platform,8,4.83,2.78,1.07,0.7,9.37
207,2013,X360,Action,27,20.43,12.18,0.15,3.05,35.81
208,2013,XOne,Action,4,3.96,1.66,0.01,0.51,6.15
209,2014,3DS,Role-Playing,19,5.61,4.07,13.85,0.85,24.37
210,2014,DS,Action,1,0.02,0.0,0.0,0.0,0.02
211,2014,PC,Simulation,4,1.06,3.25,0.0,0.48,4.8
212,2014,PS3,Action,29,3.57,5.09,2.09,1.9,12.68
213,2014,PS4,Action,31,14.68,19.18,1.63,7.36,42.84
214,2014,PSP,Sports,1,0.0,0.0,0.09,0.0,0.09
215,2014,PSV,Action,22,0.79,1.16,1.21,0.59,3.75
216,2014,Wii,Misc,1,1.11,0.98,0.0,0.2,2.28
217,2014,WiiU,Racing,1,3.13,2.07,1.27,0.49,6.96
218,2014,X360,Shooter,11,6.87,3.74,0.03,0.98,11.64
219,2014,XOne,Shooter,10,11.61,6.18,0.09,1.47,19.36
220,2015,3DS,Action,39,2.4,1.64,8.54,0.37,12.97
221,2015,PC,Action,16,0.73,1.24,0.0,0.15,2.12
222,2015,PS3,Sports,12,2.07,3.05,0.23,0.99,6.36
223,2015,PS4,Shooter,11,12.18,13.76,1.02,5.13,32.09
224,2015,PSP,Action,3,0.0,0.0,0.12,0.0,0.12
225,2015,PSV,Action,55,0.22,0.85,2.09,0.27,3.45
226,2015,Wii,Misc,1,0.52,0.59,0.0,0.1,1.2
227,2015,WiiU,Platform,4,2.08,1.52,1.16,0.35,5.11
228,2015,X360,Sports,12,2.66,1.57,0.0,0.41,4.66
229,2015,XOne,Shooter,11,14.47,6.32,0.07,2.14,23.01
